taxa_SMAGs,taxogroup_V9
Attheya,Bacillariophyta
Attheya,Bacillariophyta
Aureococcus,Pelagophyceae
Bathycoccus,Mamiellophyceae
Bathycoccus,Mamiellophyceae
Cafeteria,Bicoecea
Cafeteria,Bicoecea
Cafeteria,Bicoecea
Cafeteria,Bicoecea
Cafeteria,Bicoecea
Chaetoceros,Bacillariophyta
Chaetoceros,Bacillariophyta
Chaetoceros,Bacillariophyta
Chaetoceros,Bacillariophyta
Chaetoceros,Bacillariophyta
Chaetoceros,Bacillariophyta
Chaetoceros,Bacillariophyta
Chaetoceros,Bacillariophyta
Chaetoceros,Bacillariophyta
Chaetoceros,Bacillariophyta
Chaetoceros,Bacillariophyta
Cylindrotheca,Bacillariophyta
Emiliania,Haptophyta
Emiliania,Haptophyta
Florenciella,Dictyochophyceae
Florenciella,Dictyochophyceae
Florenciella,Dictyochophyceae
Fragilariopsis,Bacillariophyta
Fragilariopsis,Bacillariophyta
Geminigera,Cryptophyta
Geminigera,Cryptophyta
Geminigera,Cryptophyta
Haptolina,Haptophyta
Haptolina,Haptophyta
Haptolina,Haptophyta
Leptocylindrus,Bacillariophyta
Leptocylindrus,Bacillariophyta
Leptocylindrus,Bacillariophyta
Leptocylindrus,Bacillariophyta
Leptocylindrus,Bacillariophyta
Leptocylindrus,Bacillariophyta
Mantoniella,Mamiellophyceae
Mantoniella,Mamiellophyceae
Mantoniella,Mamiellophyceae
Micromonas,Mamiellophyceae
Micromonas,Mamiellophyceae
Micromonas,Mamiellophyceae
Micromonas,Mamiellophyceae
Micromonas,Mamiellophyceae
Micromonas,Mamiellophyceae
Micromonas,Mamiellophyceae
Minidiscus,Bacillariophyta
Minutocellus,Bacillariophyta
Ostreococcus,Mamiellophyceae
Ostreococcus,Mamiellophyceae
Ostreococcus,Mamiellophyceae
Ostreococcus,Mamiellophyceae
Ostreococcus,Mamiellophyceae
Pelagococcus,Pelagophyceae
Phaeocystis,Haptophyta
Phaeocystis,Haptophyta
Phaeocystis,Haptophyta
Phaeocystis,Haptophyta
Phaeocystis,Haptophyta
Picochlorum,Trebouxiophyceae
Picochlorum,Trebouxiophyceae
Prasinoderma,other prasinophytes
Prasinoderma,other prasinophytes
Prasinoderma,other prasinophytes
Pseudo-nitzschia,Bacillariophyta
Pseudo-nitzschia,Bacillariophyta
Pseudo-nitzschia,Bacillariophyta
Pseudo-nitzschia,Bacillariophyta
Pseudo-nitzschia,Bacillariophyta
Pseudo-nitzschia,Bacillariophyta
Pseudo-nitzschia,Bacillariophyta
Pseudo-nitzschia,Bacillariophyta
Pseudo-nitzschia,Bacillariophyta
Pseudo-nitzschia,Bacillariophyta
Pseudo-nitzschia,Bacillariophyta
Pycnococcus,Prasinophyceae Clade 7
Sister_Pelagomonas,Pelagophyceae
Sister_Pelagomonas,Pelagophyceae
Sister_Pelagomonas,Pelagophyceae
Sister_Pelagomonas,Pelagophyceae
Skeletonema,Bacillariophyta
Skeletonema,Bacillariophyta
Skeletonema,Bacillariophyta
Skeletonema,Bacillariophyta
Skeletonema,Bacillariophyta
Skeletonema,Bacillariophyta
Skeletonema,Bacillariophyta
Strombidium,Ciliophora
Strombidium,Ciliophora
Strombidium,Ciliophora
Strombidium,Ciliophora
Strombidium,Ciliophora
Strombidium,Ciliophora
Strombidium,Ciliophora
Strombidium,Ciliophora
Strombidium,Ciliophora
Strombidium,Ciliophora
Synedropsis,Bacillariophyta
Thalassiosira,Bacillariophyta
Thalassiosira,Bacillariophyta
Thalassiosira,Bacillariophyta
Thalassiosira,Bacillariophyta
Thalassiosira,Bacillariophyta
Thalassiosira,Bacillariophyta
Thalassiosira,Bacillariophyta
Thalassiosira,Bacillariophyta
Thalassiosira,Bacillariophyta
Thalassiosira,Bacillariophyta
Thalassiosira,Bacillariophyta
Thalassiosira,Bacillariophyta
Thalassiosira,Bacillariophyta
Thalassiosira,Bacillariophyta
Thalassiosira,Bacillariophyta
Thalassiosira,Bacillariophyta
Thalassiosira,Bacillariophyta
Thalassiosira,Bacillariophyta
Thalassiosira,Bacillariophyta
New_Bacillariaceae_01,Bacillariophyta
New_Bacillariaceae_02,Bacillariophyta
New_Bicosoecales_01,Bicoecea
New_Choanozoa_01,Choanoflagellatea
New_Choreotrichida _01,Ciliophora
New_Chrysochromulinaceae_01,Haptophyta
New_Ciliophora_01,Ciliophora
New_Cyrtolophosidida_01,Ciliophora
New_Haptophyta_01,Haptophyta
New_MALV-I_01,MALV-I
New_MALV-II_01,MALV-II
New_MAST-4,"MAST-4, 6, 7, 8, 9, 10, 11"
A,A
